Journal,Closely-Related-Journals(Relatedness),,,,,,,,,,,,
ACTA-SCI-TECHNOL,ACTA-SCI-TECHNOL(1141.55),,,,,,,,,,,,
ADV-COMPLEX-SYST,ADV-COMPLEX-SYST(3527.34),,,,,,,,,,,,
ADV-THEOR-SIMUL,ADV-THEOR-SIMUL(236.92),,,,,,,,,,,,
AN-ACAD-BRAS-CIENC,AN-ACAD-BRAS-CIENC(178.67),,,,,,,,,,,,
ANN-NY-ACAD-SCI,ANN-NY-ACAD-SCI(342.97),NAT-HUM-BEHAV(14.94),P-NATL-ACAD-SCI-USA(16.41),,,,,,,,,,
ARAB-J-SCI-ENG,ARAB-J-SCI-ENG(135.46),,,,,,,,,,,,
CHIANG-MAI-J-SCI,CHIANG-MAI-J-SCI(898.05),SAINS-MALAYS(27.40),,,,,,,,,,,
COMPLEXITY,COMPLEXITY(274.26),DISCRETE-DYN-NAT-SOC(46.65),INT-J-BIFURCAT-CHAOS(73.15),,,,,,,,,,
CR-ACAD-BULG-SCI,CR-ACAD-BULG-SCI(1729.67),,,,,,,,,,,,
CURR-SCI-INDIA,CURR-SCI-INDIA(523.80),P-NATL-A-SCI-INDIA-A(32.04),,,,,,,,,,,
DEFENCE-SCI-J,DEFENCE-SCI-J(1864.28),,,,,,,,,,,,
DISCRETE-DYN-NAT-SOC,COMPLEXITY(46.65),DISCRETE-DYN-NAT-SOC(1098.34),INT-J-BIFURCAT-CHAOS(67.92),,,,,,,,,,
ENDEAVOUR,ENDEAVOUR(6329.11),,,,,,,,,,,,
FRACTALS,FRACTALS(5358.05),,,,,,,,,,,,
FRONT-BIOENG-BIOTECH,FRONT-BIOENG-BIOTECH(77.70),J-R-SOC-INTERFACE(14.29),,,,,,,,,,,
FRONT-LIFE-SCI,,,,,,,,,,,,,
GIGASCIENCE,GIGASCIENCE(931.62),NAT-COMMUN(15.06),NATURE(14.02),SCI-DATA(102.17),SCIENCE(28.83),,,,,,,,
GLOB-CHALL,GLOB-CHALL(390.08),NATL-SCI-REV(48.65),,,,,,,,,,,
INTERDISCIPL-SCI-REV,INTERDISCIPL-SCI-REV(461.89),,,,,,,,,,,,
INT-J-BIFURCAT-CHAOS,COMPLEXITY(73.15),DISCRETE-DYN-NAT-SOC(67.92),INT-J-BIFURCAT-CHAOS(2424.77),PHILOS-T-R-SOC-A(13.93),,,,,,,,,
IRAN-J-SCI-TECHNOL-A,IRAN-J-SCI-TECHNOL-A(211.51),,,,,,,,,,,,
ISCIENCE,ISCIENCE(27.20),,,,,,,,,,,,
ISSUES-SCI-TECHNOL,ISSUES-SCI-TECHNOL(4208.75),,,,,,,,,,,,
J-ADV-RES,J-ADV-RES(474.38),,,,,,,,,,,,
J-INDIAN-I-SCI,,,,,,,,,,,,,
J-KING-SAUD-UNIV-SCI,J-KING-SAUD-UNIV-SCI(382.53),J-TAIBAH-UNIV-SCI(63.80),,,,,,,,,,,
J-NATL-SCI-FOUND-SRI,J-NATL-SCI-FOUND-SRI(672.40),,,,,,,,,,,,
JOVE-J-VIS-EXP,JOVE-J-VIS-EXP(98.94),NPJ-MICROGRAVITY(30.49),,,,,,,,,,,
J-RADIAT-RES-APPL-SC,J-RADIAT-RES-APPL-SC(4004.42),,,,,,,,,,,,
J-R-SOC-INTERFACE,FRONT-BIOENG-BIOTECH(14.29),J-R-SOC-INTERFACE(649.61),NAT-HUM-BEHAV(13.79),NATURE(17.96),PHILOS-T-R-SOC-A(39.75),P-NATL-ACAD-SCI-USA(28.35),ROY-SOC-OPEN-SCI(41.99),SCI-ADV(14.04),,,,,
J-TAIBAH-UNIV-SCI,J-KING-SAUD-UNIV-SCI(63.80),J-TAIBAH-UNIV-SCI(1765.97),,,,,,,,,,,
KUWAIT-J-SCI,KUWAIT-J-SCI(8977.84),,,,,,,,,,,,
MAEJO-INT-J-SCI-TECH,MAEJO-INT-J-SCI-TECH(3132.83),,,,,,,,,,,,
MIT-TECHNOL-REV,,,,,,,,,,,,,
NAT-COMMUN,GIGASCIENCE(15.06),NAT-COMMUN(42.35),NATL-SCI-REV(18.82),NATURE(49.46),P-NATL-ACAD-SCI-USA(29.68),SCI-ADV(23.65),SCIENCE(43.17),,,,,,
NAT-HUM-BEHAV,ANN-NY-ACAD-SCI(14.94),J-R-SOC-INTERFACE(13.79),NAT-HUM-BEHAV(1139.53),NATURE(39.58),P-NATL-ACAD-SCI-USA(32.42),ROY-SOC-OPEN-SCI(24.30),,,,,,,
NATL-ACAD-SCI-LETT,NATL-ACAD-SCI-LETT(940.95),,,,,,,,,,,,
NATL-SCI-REV,GLOB-CHALL(48.65),NAT-COMMUN(18.82),NATL-SCI-REV(1500.23),NATURE(15.48),SCI-ADV(17.93),SCI-BULL(102.37),,,,,,,
NATURE,GIGASCIENCE(14.02),J-R-SOC-INTERFACE(17.96),NAT-COMMUN(49.46),NAT-HUM-BEHAV(39.58),NATL-SCI-REV(15.48),NATURE(581.30),PHILOS-T-R-SOC-A(22.47),P-NATL-ACAD-SCI-USA(65.35),S-AFR-J-SCI(16.11),SCI-ADV(37.75),SCI-AM(17.53),SCI-DATA(28.58),SCIENCE(329.49)
NEW-SCI,,,,,,,,,,,,,
NPJ-MICROGRAVITY,JOVE-J-VIS-EXP(30.49),NPJ-MICROGRAVITY(5962.52),,,,,,,,,,,
PHILOS-T-R-SOC-A,INT-J-BIFURCAT-CHAOS(13.93),J-R-SOC-INTERFACE(39.75),NATURE(22.47),PHILOS-T-R-SOC-A(690.00),SCIENCE(13.76),,,,,,,,
P-JPN-ACAD-B-PHYS,P-JPN-ACAD-B-PHYS(267.73),,,,,,,,,,,,
PLOS-ONE,PLOS-ONE(24.62),,,,,,,,,,,,
P-NATL-ACAD-SCI-USA,ANN-NY-ACAD-SCI(16.41),J-R-SOC-INTERFACE(28.35),NAT-COMMUN(29.68),NAT-HUM-BEHAV(32.42),NATURE(65.35),P-NATL-ACAD-SCI-USA(102.50),SCI-ADV(22.88),SCIENCE(69.71),,,,,
P-NATL-A-SCI-INDIA-A,CURR-SCI-INDIA(32.04),P-NATL-A-SCI-INDIA-A(866.72),,,,,,,,,,,
P-ROMANIAN-ACAD-A,P-ROMANIAN-ACAD-A(6883.26),,,,,,,,,,,,
REND-LINCEI-SCI-FIS,REND-LINCEI-SCI-FIS(2105.45),,,,,,,,,,,,
RES-SYNTH-METHODS,RES-SYNTH-METHODS(13978.60),,,,,,,,,,,,
ROY-SOC-OPEN-SCI,J-R-SOC-INTERFACE(41.99),NAT-HUM-BEHAV(24.30),ROY-SOC-OPEN-SCI(92.25),,,,,,,,,,
S-AFR-J-SCI,NATURE(16.11),S-AFR-J-SCI(2032.68),,,,,,,,,,,
SAINS-MALAYS,CHIANG-MAI-J-SCI(27.40),SAINS-MALAYS(718.67),SCIENCEASIA(44.20),,,,,,,,,,
SCI-ADV,J-R-SOC-INTERFACE(14.04),NAT-COMMUN(23.65),NATL-SCI-REV(17.93),NATURE(37.75),P-NATL-ACAD-SCI-USA(22.88),SCI-ADV(57.18),SCIENCE(45.40),,,,,,
SCI-AM,NATURE(17.53),SCI-AM(7936.51),SCIENCE(41.57),,,,,,,,,,
SCI-BULL,NATL-SCI-REV(102.37),SCI-BULL(1266.95),,,,,,,,,,,
SCI-DATA,GIGASCIENCE(102.17),NATURE(28.58),SCI-DATA(489.22),SCIENCE(21.99),,,,,,,,,
SCIENCE,GIGASCIENCE(28.83),NAT-COMMUN(43.17),NATURE(329.49),PHILOS-T-R-SOC-A(13.76),P-NATL-ACAD-SCI-USA(69.71),SCI-ADV(45.40),SCI-AM(41.57),SCI-DATA(21.99),SCIENCE(529.50),,,,
SCIENCEASIA,SAINS-MALAYS(44.20),SCIENCEASIA(1054.57),,,,,,,,,,,
SCI-ENG-ETHICS,SCI-ENG-ETHICS(4671.67),,,,,,,,,,,,
SCIENTIST,,,,,,,,,,,,,
SCI-PROGRESS-UK,SCI-PROGRESS-UK(10121.46),,,,,,,,,,,,
SCI-REP-UK,,,,,,,,,,,,,
SYMMETRY-BASEL,SYMMETRY-BASEL(123.12),,,,,,,,,,,,
T-ROY-SOC-SOUTH-AUST,,,,,,,,,,,,,
